"","child_sex","cluster","EREP_1.1.1","EREP_1.1.2","EREP_1.2.1","EREP_1.2.2","EREP_1.3.1","EREP_1.3.2","EREP_4.1.1","EREP_4.1.2","EREP_4.2.1","EREP_4.2.2","EREP_4.3.1","EREP_4.3.2","EREP_6.1.1","EREP_6.1.2","EREP_6.2.1","EREP_6.2.2","EREP_6.3.1","EREP_6.3.2","EREP_7.1.1","EREP_7.1.2","EREP_7.2.1","EREP_7.2.2","EREP_7.3.1","EREP_7.3.2","EREP_8.1.1","EREP_8.1.2","EREP_8.2.1","EREP_8.2.2","EREP_8.3.1","EREP_8.3.2","EREP_10.1.1","EREP_10.1.2","EREP_10.2.1","EREP_10.2.2","EREP_10.3.1","EREP_10.3.2","EREP_2.1.1","EREP_2.1.2","EREP_2.2.1","EREP_2.2.2","EREP_2.3.1","EREP_2.3.2","EREP_3.1.1","EREP_3.1.2","EREP_3.2.1","EREP_3.2.2","EREP_3.3.1","EREP_3.3.2","EREP_5.1.1","EREP_5.1.2","EREP_5.2.1","EREP_5.2.2","EREP_5.3.1","EREP_5.3.2","EREP_9.1.1","EREP_9.1.2","EREP_9.2.1","EREP_9.2.2","EREP_9.3.1","EREP_9.3.2","EREP_12.1.1","EREP_12.1.2","EREP_12.2.1","EREP_12.2.2","EREP_12.3.1","EREP_12.3.2"
"140",2,5.2,4,3,5,2,NA,NA,1,1,1,1,NA,NA,1,2,3,2,NA,NA,2,4,4,1,NA,NA,1,1,2,1,NA,NA,5,7,2,6,NA,NA,1,1,1,2,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,7,7,7,7,NA,NA,6,5,7,7,NA,NA
"141",2,20.1,1,2,1,1,4,1,1,1,1,1,1,1,1,2,2,2,1,3,7,2,1,1,1,2,1,1,1,1,1,1,7,5,7,4,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,6,7,6,6,7,5,7,3,6,6
"142",1,4.1,2,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,2,NA,NA,NA,NA,3,6,NA,NA,NA,NA,2,1,NA,NA,NA,NA,6,7,NA,NA,NA,NA,1,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,6,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"143",2,10.4,6,2,NA,NA,5,NA,1,2,NA,NA,2,1,5,3,NA,NA,6,5,7,6,NA,NA,7,1,1,1,NA,NA,6,1,7,5,NA,NA,2,2,2,2,NA,NA,2,1,1,2,NA,NA,2,1,1,1,NA,NA,1,1,7,7,NA,NA,NA,7,7,5,NA,NA,6,6
"144",1,25.1,7,6,6,6,NA,NA,2,1,1,7,NA,NA,2,7,1,7,NA,NA,1,2,2,5,NA,NA,2,3,1,1,NA,NA,6,6,5,7,NA,NA,1,6,1,5,NA,NA,1,6,1,1,NA,NA,1,1,1,6,NA,NA,7,6,1,7,NA,NA,7,7,7,7,NA,NA
"145",2,14.1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"146",2,12.1,3,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,6,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,7,NA,NA,NA,NA,4,6,NA,NA,NA,NA
"147",1,5.2,4,4,NA,NA,7,5,4,2,NA,NA,4,5,5,5,NA,NA,6,6,5,5,NA,NA,5,5,4,2,NA,NA,7,3,6,6,NA,NA,7,1,5,5,NA,NA,4,7,2,5,NA,NA,1,6,4,5,NA,NA,1,5,6,6,NA,NA,7,6,5,6,NA,NA,6,6
"148",2,15.1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,1,2,1,NA,NA,6,7,1,1,NA,NA,1,1,1,1,NA,NA,5,1,3,2,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,7,6,7,7,NA,NA,7,6,7,5,NA,NA
"149",2,13.2,1,1,1,2,2,6,1,1,1,1,1,2,3,5,6,5,4,5,7,7,4,2,1,2,1,1,1,1,1,2,5,7,6,7,2,7,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,2,7,7,6,7,6,7,7,7,7,7,6,7
