"","child_sex","cluster","PRQ_1.1.1","PRQ_1.1.2","PRQ_1.2.1","PRQ_1.2.2","PRQ_1.3.1","PRQ_1.3.2","PRQ_1.4.1","PRQ_1.4.2","PRQ_2.1.1","PRQ_2.1.2","PRQ_2.2.1","PRQ_2.2.2","PRQ_2.3.1","PRQ_2.3.2","PRQ_2.4.1","PRQ_2.4.2","PRQ_3.1.1","PRQ_3.1.2","PRQ_3.2.1","PRQ_3.2.2","PRQ_3.3.1","PRQ_3.3.2","PRQ_3.4.1","PRQ_3.4.2","PRQ_16.1.1","PRQ_16.1.2","PRQ_16.2.1","PRQ_16.2.2","PRQ_16.3.1","PRQ_16.3.2","PRQ_16.4.1","PRQ_16.4.2","PRQ_21.1.1","PRQ_21.1.2","PRQ_21.2.1","PRQ_21.2.2","PRQ_21.3.1","PRQ_21.3.2","PRQ_21.4.1","PRQ_21.4.2","PRQ_26.1.1","PRQ_26.1.2","PRQ_26.2.1","PRQ_26.2.2","PRQ_26.3.1","PRQ_26.3.2","PRQ_26.4.1","PRQ_26.4.2","PRQ_31.1.1","PRQ_31.1.2","PRQ_31.2.1","PRQ_31.2.2","PRQ_31.3.1","PRQ_31.3.2","PRQ_31.4.1","PRQ_31.4.2","PRQ_36.1.1","PRQ_36.1.2","PRQ_36.2.1","PRQ_36.2.2","PRQ_36.3.1","PRQ_36.3.2","PRQ_36.4.1","PRQ_36.4.2","PRQ_40.1.1","PRQ_40.1.2","PRQ_40.2.1","PRQ_40.2.2","PRQ_40.3.1","PRQ_40.3.2","PRQ_40.4.1","PRQ_40.4.2","PRQ_42.1.1","PRQ_42.1.2","PRQ_42.2.1","PRQ_42.2.2","PRQ_42.3.1","PRQ_42.3.2","PRQ_42.4.1","PRQ_42.4.2","PRQ_43.1.1","PRQ_43.1.2","PRQ_43.2.1","PRQ_43.2.2","PRQ_43.3.1","PRQ_43.3.2","PRQ_43.4.1","PRQ_43.4.2"
"165",1,19.2,3,4,NA,NA,NA,NA,3,2,2,3,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,4,4,3,4,NA,NA,NA,NA,3,4,4,4,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,3,3,3,4,NA,NA,NA,NA,3,4,3,3,NA,NA,NA,NA,4,4,3,4,NA,NA,NA,NA,3,4,3,3,NA,NA,NA,NA,3,4
"166",1,19.2,3,3,NA,NA,3,3,3,4,2,2,NA,NA,3,2,3,3,2,3,NA,NA,3,3,3,4,2,2,NA,NA,2,3,2,2,2,3,NA,NA,2,3,2,3,4,3,NA,NA,4,4,3,4,2,3,NA,NA,3,4,2,4,2,3,NA,NA,2,3,2,3,2,3,NA,NA,2,4,2,3,3,3,NA,NA,3,4,3,4,2,3,NA,NA,2,3,2,4
"167",1,18.1,4,3,3,4,4,4,NA,NA,3,3,3,3,3,3,NA,NA,4,3,3,3,3,3,NA,NA,4,2,4,2,3,4,NA,NA,3,2,4,2,3,2,NA,NA,4,4,4,3,4,4,NA,NA,3,3,4,4,4,2,NA,NA,3,3,3,3,3,3,NA,NA,3,2,3,3,4,4,NA,NA,4,3,4,3,4,3,NA,NA,3,3,4,3,3,3,NA,NA
"168",1,10.4,2,4,NA,NA,3,3,3,3,2,2,NA,NA,3,3,3,3,3,4,NA,NA,3,3,4,3,3,2,NA,NA,3,3,3,2,3,3,NA,NA,3,4,3,3,3,3.96845407056294,NA,NA,3,4,4,4,2,4,NA,NA,2,3,3,3,3,2,NA,NA,3,3,3,4,3,3,NA,NA,3,3,3,4,3,4,NA,NA,4,4,4,4,3,3,NA,NA,3,4,3,4
"169",2,13.1,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA
"170",1,4.1,3,2,2,2,3,3,3,4,3,3,3,3,3,2,4,3,2,2,4,4,3,3,4,3,3,4,3,4,3,2,3,3,3,2,3,2,3,2,3,2,4,4,4,4,4,3,4,4,3,2,3,2,3,2,3,2,2,2,3,2,3,3,3,2,3,2,4,3,4,2,4,2,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,2
"171",1,17.1,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA
"172",1,3.2,2,3,2,4,3,4,NA,NA,3,3,3,3,3,3,NA,NA,3,3,4,3,3,3,NA,NA,2,3,3,3,3,3,NA,NA,2,3,3,3,2,3,NA,NA,4,4,3,4,4,4,NA,NA,2,3,2,3,3,3,NA,NA,3,3,3,3,3,3,NA,NA,1,4,2,4,2,4,NA,NA,3,4,3,3,3,3,NA,NA,2,3,3,3,3,3,NA,NA
"173",2,5.2,2,3,2,3,2,3,NA,NA,2,3,2,2,2,2,NA,NA,3,3,3,4,3,4,NA,NA,3,3,3,3,3,3,NA,NA,2,2,2,3,3,3,NA,NA,4,4,4,4,3,4,NA,NA,3,3,3,3,3,3,NA,NA,2,2,2,3,3,2,NA,NA,2,3,2,4,3,4,NA,NA,2,3,3,4,3,4,NA,NA,3,3,3,4,3,3,NA,NA
"174",1,15.1,3,3,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA
"175",1,10.1,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA
"176",1,4.1,3,2,NA,NA,3,4,NA,NA,2,4,NA,NA,3,4,NA,NA,2,4,NA,NA,3,4,NA,NA,3,4,NA,NA,3,4,NA,NA,3,4,NA,NA,3,4,NA,NA,4,4,NA,NA,4,4,NA,NA,4,2,NA,NA,3,3,NA,NA,3,4,NA,NA,3,4,NA,NA,3,4,NA,NA,3,4,NA,NA,4,4,NA,NA,3,4,NA,NA,3,4,NA,NA,3,4,NA,NA
"177",1,24.2,4,4,NA,NA,3,4,3,3,4,2,NA,NA,2,3,3,3,4,3,NA,NA,3,3,3,3,3,3,NA,NA,2,3,2,3,4,4,NA,NA,2,2,2,3,4,4,NA,NA,3,4,2,3,3,4,NA,NA,3,3,2,3,3,2,NA,NA,3,3,2,3,2,4,NA,NA,3,4,2,3,3,4,NA,NA,3,4,2,3,4,3,NA,NA,3,3,2,3
"178",1,7.1,3,4,3,4,3,4,NA,NA,2,3,3,3,3,3,NA,NA,4,3,4,4,4,4,NA,NA,4,3,4,3,3,3,NA,NA,4,3,4,2,3,3,NA,NA,4,4,4,4,4,4,NA,NA,3,4,3,4,3,4,NA,NA,4,3,4,3,3,4,NA,NA,4,4,3,4,3,4,NA,NA,4,4,4,4,4,4,NA,NA,2,3,3,4,4,3,NA,NA
"179",2,14.1,3,3,NA,NA,3,4,NA,NA,3,4,NA,NA,4,4,NA,NA,3,3,NA,NA,4,4,NA,NA,3,4,NA,NA,3,3,NA,NA,4,4,NA,NA,3,3,NA,NA,3,4,NA,NA,3,4,NA,NA,3,4,NA,NA,3,4,NA,NA,3,4,NA,NA,3,3,NA,NA,2,4,NA,NA,3,4,NA,NA,3,4,NA,NA,3,4,NA,NA,3,3,NA,NA,3,3,NA,NA
"180",1,14.1,3,4,NA,NA,4,4,3,2,2,2,NA,NA,4,3,3,2,3,2,NA,NA,4,3,4,3,3,3,NA,NA,3,2,3,2,3,2,NA,NA,3,1,3,3,3,4,NA,NA,4,4,4,4,2,3,NA,NA,3,3,4,3,2,3,NA,NA,3,2,3,2,2,3,NA,NA,4,2,3,4,3,4,NA,NA,3,4,4,2,3,3,NA,NA,3,3,3,2
"181",1,21.1,3,3,4,4,4,4,4,4,2,2,3,3,3,3,3,4,2,3,4,3,3,4,3,4,3,2,4,3,4,4,4,4,1,2,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,3,2,3,3,3,3,3,4,2,4,2,4,3,3,2,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3
"182",2,22.2,2,3,3,3,4,3,NA,NA,2,3,3,3,2,3,NA,NA,2,3,3,3,4,3,NA,NA,3,3,3,3,2,3,NA,NA,3,3,2.42737837426523,NA,2,2,NA,NA,4,4,4,NA,4,4,NA,NA,3,3,3,NA,4,3,NA,NA,2,3,3,NA,3,3,NA,NA,4,3,4,NA,3,4,NA,NA,4,3,3,NA,4,3,NA,NA,3,3,3,NA,3,3,NA,NA
"183",1,7.2,3,3,3,4,4,3,NA,NA,2,2,2,3,2,3,NA,NA,3,3,3,3,3,3,NA,NA,2,2,3,2,3,3,NA,NA,3,2,3,3,2,3,NA,NA,4,3,4,4,4,4,NA,NA,3,3,3,3,4,3,NA,NA,3,2,3,2,3,3,NA,NA,2,3,3,4,2,4,NA,NA,4,3,3,4,4,3,NA,NA,3,3,3,3,3,3,NA,NA
"184",1,22.2,4,4,4,4,3,4,NA,NA,2,2,3,3,3,3,NA,NA,2,2,4,4,3,3,NA,NA,3,3,3,3,4,4,NA,NA,3,3,3,3,3,3,NA,NA,4,4,4,4,4,4,NA,NA,4,4,3,3,3,3,NA,NA,4,4,3,3,3,3,NA,NA,4,4,4,4,3,3,NA,NA,4,4,4,4,4,4,NA,NA,3,3,3,3,3,3,NA,NA
"185",1,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",1,15.1,3,3,2,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,2,4,3,3,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,4,4,3,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,2,4,3,3,NA,NA,NA,NA
"187",1,19.2,3,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA
"188",2,22.2,2,3,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,4,3,3,2,2,3,2,3,3,3,3,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,2,3,3,2,3,2,2,2,2,3,3,3,3,3,3,4,2,3,4,3,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3
"189",2,19.2,2,3,2,3,2,3,NA,NA,3,3,3,3,3,3,NA,NA,3,4,3,3,3,4,NA,NA,3,2,3,3,4,3,NA,NA,2,1,2,2,3,1,NA,NA,4,4,4,4,4,4,NA,NA,2,2,2,2,2,3,NA,NA,3,3,3,4,3,4,NA,NA,3,4,3,4,3,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,3,3,3,3,NA,NA
"190",2,3.3,3,3,NA,NA,3,3,2,3,2,3,NA,NA,2,3,3,3,3,4,NA,NA,3,4,3,3,3,2,NA,NA,3,3,4,3,3,2,NA,NA,3,3,1,2,4,3,NA,NA,4,3,4,4,3,2,NA,NA,3,3,4,2,3,3,NA,NA,3,3,4,3,3,3,NA,NA,3,3,2,3,3,3,NA,NA,4,3,4,3,3,3,NA,NA,3,3,3,3
"191",2,1.1,3,4,NA,NA,NA,NA,2,3,4,4,NA,NA,NA,NA,3,4,4,4,NA,NA,NA,NA,2,4,4,4,NA,NA,NA,NA,2,4,3,3,NA,NA,NA,NA,2,3,4,4,NA,NA,NA,NA,3,4,4,4,NA,NA,NA,NA,2,3,3,3,NA,NA,NA,NA,2,4,3,4,NA,NA,NA,NA,2,4,4,4,NA,NA,NA,NA,3,4,4,4,NA,NA,NA,NA,2,4
"192",2,14.1,3,3,NA,NA,3,4,NA,NA,2,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,4,NA,NA,3,2,NA,NA,3,3,NA,NA,2,2,NA,NA,2,NA,NA,NA,4,4,NA,NA,4,4,NA,NA,3,3,NA,NA,2,3,NA,NA,2,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,4,3,NA,NA,4,3,NA,NA,2,3,NA,NA,3,3,NA,NA
"193",1,13.2,2,3,3,3,NA,3,4,4,2,3,2,4,NA,3,2,4,3,4,3,4,NA,3,4,4,4,3,4,4,NA,3,4,4,2,2,1,4,NA,2,2,4,3,3,3,3,NA,4,3,4,2,4,3,3,NA,3,3,4,2,3,3,4,NA,3,2,4,3,4,2,3,NA,3,3,4,4,4,3,3,NA,4,4,4,2,4,2,4,NA,3,3,4
"194",2,13.1,2,3,NA,NA,NA,3,NA,NA,2,3,NA,NA,NA,3,NA,NA,3,3,NA,NA,NA,2,NA,NA,3,2,NA,NA,NA,2,NA,NA,3,3,NA,NA,NA,2,NA,NA,4,2,NA,NA,NA,4,NA,NA,2,2,NA,NA,NA,2,NA,NA,2,3,NA,NA,NA,2,NA,NA,2,2,NA,NA,NA,3,NA,NA,4,3,NA,NA,NA,3,NA,NA,3,3,NA,NA,NA,2,NA,NA
"195",2,1.1,4,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA
"196",1,13.1,4,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA
"197",1,25.1,2,2,2,3,NA,NA,NA,NA,2,3,2,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,3,3,3,2,NA,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,3,3,2,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA
"198",1,18.1,3,3,2,3,3,3,NA,NA,2,2,2,2,2,2,NA,NA,2,2,3,3,2,3,NA,NA,3,3,3,3,2,3,NA,NA,2,2,3,3,2,2,NA,NA,4,4,3,3,4,4,NA,NA,2,3,2,2,2,3,NA,NA,2,2,3,3,2,2,NA,NA,2,3,2,3,2,3,NA,NA,3,4,3,3,3,3,NA,NA,2,2,2,3,2,3,NA,NA
"199",1,9.1,3,2,NA,NA,3,3,NA,NA,2,2,NA,NA,2,2,NA,NA,4,3,NA,NA,3,2,NA,NA,3,2,NA,NA,3,3,NA,NA,3,3,NA,NA,3,2,NA,NA,4,3,NA,NA,4,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,2,3,NA,NA,2,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA
"200",1,20.3,NA,NA,3,4,NA,NA,3,4,NA,NA,4,4,NA,NA,4,4,NA,NA,4,3,NA,NA,4,4,NA,NA,3,3,NA,NA,3,3,NA,NA,3,4,NA,NA,3,3,NA,NA,4,4,NA,NA,4,4,NA,NA,3,3,NA,NA,3,4,NA,NA,3,3,NA,NA,4,4,NA,NA,4,4,NA,NA,3,4,NA,NA,4,3,NA,NA,4,4,NA,NA,3,3,NA,NA,4,4
"201",1,18.1,1,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,4,3,3,4,2,3,3,2,3,1,2,2,3,1,2,3,3,4,4,4,4,2,4,2,4,1,2,2,3,1,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,1,4,3,4,4,4,4,4,2,4,3,4,2,3,3,3,3,3,3,3
"202",1,18.1,3,4,3,3,3,3,4,4,3,3,3,2,3,3,3,2,3,4,3,4,3,3,3,4,3,4,2,3,3,2,3,3,1,4,2,2,3,3,2,2,4,4,3,4,3,4,4,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,4,3,4,4,3,4,3,3,4,3,3,3,3,3,3
"203",1,13.1,3,4,3,3,3,4,NA,NA,3,3,3,4,3,3,NA,NA,3,4,3,4,3,3,NA,NA,3,4,3,4,3,3,NA,NA,3,3,2,3,3,3,NA,NA,4,4,3,4,4,4,NA,NA,3,4,3,3,3,3,NA,NA,3,3,3,4,3,3,NA,NA,3,3,3,3,3,4,NA,NA,4,4,3,4,3,4,NA,NA,3,3,3,4,3,3,NA,NA
"204",1,2.1,NA,NA,2,2,3,3,NA,NA,NA,NA,3,2,3,2,NA,NA,NA,NA,2,3,3,3,NA,NA,NA,NA,2,2,3,2,NA,NA,NA,NA,2,2,3,3,NA,NA,NA,NA,4,3,4,4,NA,NA,NA,NA,2,2,3,3,NA,NA,NA,NA,3,2,3,2,NA,NA,NA,NA,3,2,1,2,NA,NA,NA,NA,4,4,4,3,NA,NA,NA,NA,3,3,3,3,NA,NA
"205",1,14.1,3,3,3,4,3,3,4,4,3,3,2,2,3,3,3,4,3,3,2,3,3,4,4,4,2,2,2,3,2,3,3,4,2,2,2,3,3,2,3,3,4,4,3,4,4,4,4,4,3,3,2,4,3,2,4,4,3,2,2,3,3,3,3,4,2,4,3,4,3,NA,3,4,3,4,3,4,3,3,4,4,3,3,3,3,3,3,3,4
"206",1,1.1,4,4,NA,NA,NA,4,NA,NA,3,3,NA,NA,NA,2,NA,NA,3,3,NA,NA,NA,4,NA,NA,2,4,NA,NA,NA,3,NA,NA,2,3,NA,NA,NA,2,NA,NA,4,4,NA,NA,NA,4,NA,NA,4,4,NA,NA,NA,4,NA,NA,2,4,NA,NA,NA,3,NA,NA,2,3,NA,NA,NA,2,NA,NA,3,4,NA,NA,NA,3,NA,NA,2,4,NA,NA,NA,2,NA,NA
"207",1,11.2,2,2,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA
"208",1,7.2,3,3,3,3,3,3,2,4,2,2,3,3,3,3,4,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,4,2,4,4,4,3,4,3,3,4,3,3,2.51247622998538,3,2,3,3,2,2,3,2,3,3,3,2,2,3,4,3,3,2,4,2,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,2,3
"209",1,2.1,NA,NA,2,4,4,4,NA,NA,NA,NA,3,3,2,3,NA,NA,NA,NA,3,4,4,3,NA,NA,NA,NA,4,3,4,3,NA,NA,NA,NA,4,3,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,2,3,3,4,NA,NA,NA,NA,2,3,3,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,3,3,3,3,NA,NA
"210",1,10.4,3,2,NA,NA,3,3,4,4,3,3,NA,NA,3,3,3,4,4,3,NA,NA,4,4,4,4,4,3,NA,NA,3,3,3,3,3,3,NA,NA,3,3,3,3,4,4,NA,NA,4,4,4,4,3,2,NA,NA,3,3,4,4,4,3,NA,NA,4,3,3,1,3,4,NA,NA,3,4,4,3,4,3,NA,NA,4,4,4,4,4,3,NA,NA,4,3,3,3
"211",1,20.1,2,3,NA,NA,2,3,3,4,2,3,NA,NA,3,3,3,4,3,3,NA,NA,3,4,4,4,2,3,NA,NA,3,3,3,4,2,2,NA,NA,2,3,2,3,4,3,NA,NA,4,4,4,4,3,3,NA,NA,3,3,2,4,3,3,NA,NA,3,4,3,3,2,4,NA,NA,2,4,2,4,4,3,NA,NA,3,4,3,4,3,3,NA,NA,3,4,3,4
"212",1,19.3,4,4,3,4,4,4,3,4,2,2,2,2,3,2,3,3,3,2,3,4,3,3,3,3,2,3,3,4,3,3,3,3,1,3,2,2,2,3,2,2,4,3,4,4,4,4,4,4,3,3,3,4,3,3,2,3,2,2,3,3,3,3,3,2,3,4,3,4,3,4,2,4,4,4,4,4,3,4,4,4,2,3,3,4,3,3,4,4
"213",1,7.1,2,3,3,4,NA,NA,NA,NA,2,2,3,3,NA,NA,NA,NA,3,3,4,3,NA,NA,NA,NA,2,4,3,3,NA,NA,NA,NA,3,2,2,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,3,3,3,4,NA,NA,NA,NA,3,2,3,4,NA,NA,NA,NA,1,4,3,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,3,4,3,4,NA,NA,NA,NA
"214",2,22.1,3,4,3,4,NA,NA,NA,NA,3,2,3,3,NA,NA,NA,NA,3,4,3,3,NA,NA,NA,NA,3,2,4,3,NA,NA,NA,NA,2,2,2,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,2,4,3,3,NA,NA,NA,NA,3,2,3,3,NA,NA,NA,NA,2,4,2,3,NA,NA,NA,NA,3,4,3,4,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA
"215",2,24.2,3,4,4,4,2,4,NA,NA,2,3,4,3,2,3,NA,NA,2,3,4,4,4,4,NA,NA,2,3,3,4,3,4,NA,NA,2,2,3,4,2,4,NA,NA,4,4,4,4,3,4,NA,NA,3,4,4,3,2,4,NA,NA,2,3,3,4,2,4,NA,NA,2,4,4,4,2,4,NA,NA,3,4,4,4,3,4,NA,NA,2,3,4,4,2,4,NA,NA
