"","school_id","child_age","child_sex","father_education","mother_education","m_sec_t1","m_sec_t2","m_sec_t3","f_sec_t1","f_sec_t2","f_sec_t3","c_er_t1","c_er_t2","c_er_t3","mc_att_t1","mc_att_t2","mc_att_t3","fc_att_t1","fc_att_t2","fc_att_t3","rel_length","child_age","child_sex"
"24",7.2,4.03285420944558,1,"high school","high school",2.2,2.2,1.7,4,3.3,3.1,2.33333333333333,2.83333333333333,2.66666666666667,2.72727272727273,2.90909090909091,2.9,2.72727272727273,2.63636363636364,3,6.75,4.03285420944558,1
"25",7.2,4.12867898699521,1,"high school","college education",2,1.7,1.8,1,1,1,3.66666666666667,3.5,3.66666666666667,3.09090909090909,3.45454545454545,3.54545454545455,2.72727272727273,3.09090909090909,3.27272727272727,14.4166666666667,4.12867898699521,1
"26",10.2,3.32922655715264,1,"college education","college education",3.7,NA,2.6,2.7,NA,2.8,3.5,NA,3.66666666666667,3.27272727272727,NA,3.09090909090909,3.18181818181818,NA,3.09090909090909,5.33333333333333,3.32922655715264,1
"27",18.1,4.03011635865845,1,"college education","high school",2.9,2.9,2.7,2,3.1,2.6,3.66666666666667,3,2.83333333333333,2.81818181818182,3.18181818181818,3.09090909090909,2.45454545454545,2.27272727272727,2.63636363636364,13,4.03011635865845,1
"28",19.2,3.6933607118412,1,"high school","college education",3.6,4.2,NA,3.6,3.3,NA,NA,3.33333333333333,NA,2.81818181818182,2.90909090909091,NA,2.18181818181818,2.81818181818182,NA,13,3.6933607118412,1
"29",13.1,3.69609856262834,1,"college education","high school",3.7,2.9,3.9,2.8,2.1,2.5,2.83333333333333,4,3.16666666666667,2.81818181818182,3.09090909090909,2.90909090909091,2.90909090909091,3.09090909090909,3.18181818181818,17.9166666666667,3.69609856262834,1
"30",14.1,3.13483915126626,1,"college education","college education",3,NA,NA,1.3,NA,NA,NA,NA,4,3.72727272727273,NA,NA,3.09090909090909,NA,NA,9.58333333333333,3.13483915126626,1
"31",16.1,3.89869952087611,1,"high school","high school",2.6,1.8,1.7,1.7,2.2,2.3,NA,4,4,3.54545454545455,3.36363636363636,3.81818181818182,2.78064258183591,2.63636363636364,2.63636363636364,17.1666666666667,3.89869952087611,1
"32",24.1,4.59411362080767,1,"college education","college education",2.8,2.7,2.7,2.6,1.6,1.9,3.16666666666667,3.5,4,2.81818181818182,2.72727272727273,3,3,3.27272727272727,3.18181818181818,14.75,4.59411362080767,1
"33",17.1,4.59958932238193,0,"college education","high school",3.5,2.3,2.8,3.4,2.8,2.8,3.83333333333333,3.5,2.83333333333333,3.36363636363636,3.63636363636364,3.81818181818182,3.45454545454545,3.63636363636364,3.81818181818182,20.75,4.59958932238193,0
"34",24.1,4.24366872005476,0,"high school","college education",2.4,1.9,1.8,2.2,2.6,4,2.33333333333333,3.16666666666667,3.66666666666667,2.63636363636364,3.27272727272727,3.27272727272727,2.18181818181818,2.18181818181818,2.72727272727273,11.3333333333333,4.24366872005476,0
"35",5.1,3.21149897330595,0,"high school","high school",1.7,NA,NA,2.4,NA,NA,NA,NA,2.5,3.27272727272727,NA,NA,2,NA,NA,25,3.21149897330595,0
"36",18.2,4.4517453798768,0,"high school","high school",3.7,NA,NA,3.5,NA,4.20833333333333,3.33333333333333,3.5,3.33333333333333,3.45454545454545,NA,NA,3.36363636363636,NA,3.77777777777778,10.0833333333333,4.4517453798768,0
"37",13.1,3.10746064339493,0,"college education","college education",1.8,NA,2.2,4.2,NA,3.4,2,NA,2.83333333333333,2.63636363636364,NA,2.90909090909091,2.36363636363636,NA,2.45454545454545,11.9166666666667,3.10746064339493,0
"38",1.1,3.66598220396988,0,"college education","college education",1.7,NA,NA,2.1,NA,NA,NA,NA,NA,3.27272727272727,NA,NA,3.45454545454545,NA,NA,18.9166666666667,3.66598220396988,0
"39",19.3,4.50924024640657,0,"high school","college education",1.8,NA,NA,4,NA,NA,3.66666666666667,NA,NA,3.36363636363636,NA,NA,3.36363636363636,NA,NA,14.4166666666667,4.50924024640657,0
"40",13.2,4.72553045859001,0,"high school","high school",2.5,3,2.6,1.3,2.4,2.7,2.83333333333333,3.66666666666667,3.5,3.27272727272727,2.90909090909091,3,3,2.90909090909091,3,12.9166666666667,4.72553045859001,0
"41",6.1,3.4715947980835,0,"high school","college education",2.3,2.1,2,1.5,2.8,2,3.16666666666667,NA,3.5,3.09090909090909,3.45454545454545,3.63636363636364,3.45454545454545,3.18181818181818,3.54545454545455,14,3.4715947980835,0
"42",16.1,3.18685831622177,0,"high school","high school",1.3,1.4,1,1.2,1.4,1.7,4,4,3.83333333333333,3.81818181818182,3.90909090909091,4,3.36363636363636,3.27272727272727,3.63636363636364,12.25,3.18685831622177,0
"43",11.2,4.89801505817933,0,"college education","college education",2.8,2.6,NA,3.8,2.2,NA,3.66666666666667,3.83333333333333,3.5,3,2.54545454545455,NA,3,2.90909090909091,NA,13.6666666666667,4.89801505817933,0
"44",18.1,3.83846680355921,0,"college education","college education",2.925,NA,3.8,1.9,NA,2.2,NA,NA,3,3.45454545454545,NA,3.09090909090909,3.09090909090909,NA,3.18181818181818,14.5,3.83846680355921,0
"45",5.2,3.79192334017796,0,"high school","college education",2.5,1.8,2.5,3.4,1.9,3.2,3.16666666666667,4,3.66666666666667,3.63636363636364,4,4,2.36363636363636,3.18181818181818,2.45454545454545,10.1666666666667,3.79192334017796,0
"46",19.3,4.21902806297057,0,"high school","college education",1.5,NA,NA,2.1,NA,NA,3.66666666666667,3.66666666666667,NA,3.56760341051081,NA,NA,3.07331466955217,NA,NA,9.83333333333333,4.21902806297057,0
"47",15.1,3.4880219028063,0,"college education","high school",2.2,1.4,NA,3.4,3.5,NA,NA,3.5,3.66666666666667,3.54545454545455,3.09090909090909,NA,2.90909090909091,2.90909090909091,NA,10,3.4880219028063,0
